Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
258,Exit long,2026-05-11 09:15,HTF runner,4662.64,22.69,105906.823,-132.69,-0.13,0,0.00,-122.11,-0.12,111577.65,111.58
258,Entry long,2026-05-11 09:15,L,4667.555,22.69,105906.823,-132.69,-0.13,0,0.00,-122.11,-0.12,111577.65,111.58
259,Exit short,2026-05-12 05:15,Margin call,4716.91,0.28,1319.549,-1.45,-0.11,0,0.00,-1.32,-0.10,111555.18,111.56
259,Entry short,2026-05-12 05:15,S,4712.675,0.28,1319.549,-1.45,-0.11,0,0.00,-1.32,-0.10,111555.18,111.56
260,Exit short,2026-05-12 13:15,HTF runner,4682.912,22.17,104480.0048,639.02,0.61,649.4,0.62,-224.28,-0.21,112204.64,112.20
260,Entry short,2026-05-12 05:15,S,4712.675,22.17,104480.0048,639.02,0.61,649.4,0.62,-224.28,-0.21,112204.64,112.20
261,Exit short,2026-05-12 17:15,L,4677.24,22.44,105752.427,774.09,0.73,1656.94,1.57,-227.01,-0.21,112989.31,112.99
261,Entry short,2026-05-12 05:15,S,4712.675,22.44,105752.427,774.09,0.73,1656.94,1.57,-227.01,-0.21,112989.31,112.99
262,Exit long,2026-05-13 01:15,S,4709.64,45.53,212954.7372,1432.43,0.67,2245.64,1.05,-72.06,-0.03,114421.74,114.42
262,Entry long,2026-05-12 17:15,L,4677.24,45.53,212954.7372,1432.43,0.67,2245.64,1.05,-72.06,-0.03,114421.74,114.42
263,Exit short,2026-05-13 01:15,Margin call,4710.58,0.04,188.3856,-0.08,-0.04,0,0.00,-0.06,-0.03,114400.25,114.40
263,Entry short,2026-05-13 01:15,S,4709.64,0.04,188.3856,-0.08,-0.04,0,0.00,-0.06,-0.03,114400.25,114.40
264,Exit short,2026-05-13 01:30,2R partial,4702.44,22.76,107191.4064,142.45,0.13,153.15,0.14,-32.11,-0.03,114553.41,114.55
264,Entry short,2026-05-13 01:15,S,4709.64,22.76,107191.4064,142.45,0.13,153.15,0.14,-32.11,-0.03,114553.41,114.55
265,Exit short,2026-05-13 06:15,HTF runner,4713.218,22.72,107003.0208,-102.7,-0.10,487.66,0.46,-91.99,-0.09,114461.41,114.46
265,Entry short,2026-05-13 01:15,S,4709.64,22.72,107003.0208,-102.7,-0.10,487.66,0.46,-91.99,-0.09,114461.41,114.46
266,Exit long,2026-05-14 03:30,2R partial,4676.355,22.85,107194.377,-361.07,-0.34,353.28,0.33,-350.38,-0.33,114089.62,114.09
